team,Games,Wins,Losses,Win_Pct,Runs_For,Runs_Against,Run_Diff,division
PIT,162,89,73,0.549,572,535,37,NL_Central
CHC,162,87,75,0.537,617,571,46,NL_Central
CIN,162,81,81,0.5,601,572,29,NL_Central
STL,162,78,84,0.481,568,604,-36,NL_Central
MIL,162,69,93,0.426,541,559,-18,NL_Central
