team,Games,Wins,Losses,Win_Pct,Runs_For,Runs_Against,Run_Diff,division
BAL,162,89,73,0.549,588,584,4,AL_East
BOS,162,85,77,0.525,674,666,8,AL_East
NYY,162,85,77,0.525,652,655,-3,AL_East
TBR,162,77,85,0.475,541,530,11,AL_East
TOR,162,76,86,0.469,572,563,9,AL_East
