team,Games,Wins,Losses,Win_Pct,Runs_For,Runs_Against,Run_Diff,division
DET,162,90,72,0.556,557,530,27,AL_Central
KCR,162,88,74,0.543,572,591,-19,AL_Central
MIN,162,85,77,0.525,516,560,-44,AL_Central
CLE,162,75,87,0.463,584,590,-6,AL_Central
CHW,162,67,95,0.414,467,522,-55,AL_Central
