team,Games,Wins,Losses,Win_Pct,Runs_For,Runs_Against,Run_Diff,division
LAD,162,96,66,0.593,694,663,31,NL_West
SFG,162,85,77,0.525,573,556,17,NL_West
COL,162,84,78,0.519,574,605,-31,NL_West
ARI,162,81,81,0.5,626,645,-19,NL_West
SDP,162,81,81,0.5,528,585,-57,NL_West
