away,home,date
COL,STL,2024-06-06
BOS,CHW,2024-06-06
ARI,SDP,2024-06-06
MIN,PIT,2024-06-07
MIL,DET,2024-06-07
ATL,WSN,2024-06-07
BAL,TBR,2024-06-07
LAD,NYY,2024-06-07
CHC,CIN,2024-06-07
CLE,MIA,2024-06-07
SFG,TEX,2024-06-07
SEA,KCR,2024-06-07
BOS,CHW,2024-06-07
COL,STL,2024-06-07
HOU,LAA,2024-06-07
ARI,SDP,2024-06-07
TOR,OAK,2024-06-07
PHI,NYM,2024-06-08
SFG,TEX,2024-06-08
MIN,PIT,2024-06-08
ATL,WSN,2024-06-08
TOR,OAK,2024-06-08
CHC,CIN,2024-06-08
SEA,KCR,2024-06-08
BAL,TBR,2024-06-08
BOS,CHW,2024-06-08
MIL,DET,2024-06-08
COL,STL,2024-06-08
CLE,MIA,2024-06-08
LAD,NYY,2024-06-08
ARI,SDP,2024-06-08
HOU,LAA,2024-06-08
NYM,PHI,2024-06-09
MIN,PIT,2024-06-09
ATL,WSN,2024-06-09
CHC,CIN,2024-06-09
BAL,TBR,2024-06-09
CLE,MIA,2024-06-09
MIL,DET,2024-06-09
SEA,KCR,2024-06-09
BOS,CHW,2024-06-09
COL,STL,2024-06-09
SFG,TEX,2024-06-09
HOU,LAA,2024-06-09
TOR,OAK,2024-06-09
ARI,SDP,2024-06-09
LAD,NYY,2024-06-09
BAL,TBR,2024-06-10
COL,MIN,2024-06-10
NYY,KCR,2024-06-10
TOR,MIL,2024-06-10
OAK,SDP,2024-06-10
CHW,SEA,2024-06-10
HOU,SFG,2024-06-10
ATL,BAL,2024-06-11
WSN,DET,2024-06-11
CHC,TBR,2024-06-11
CLE,CIN,2024-06-11
PHI,BOS,2024-06-11
MIA,NYM,2024-06-11
COL,MIN,2024-06-11
PIT,STL,2024-06-11
NYY,KCR,2024-06-11
TOR,MIL,2024-06-11
LAA,ARI,2024-06-11
OAK,SDP,2024-06-11
CHW,SEA,2024-06-11
HOU,SFG,2024-06-11
TEX,LAD,2024-06-11
COL,MIN,2024-06-12
TOR,MIL,2024-06-12
HOU,SFG,2024-06-12
OAK,SDP,2024-06-12
ATL,BAL,2024-06-12
WSN,DET,2024-06-12
CHC,TBR,2024-06-12
CLE,CIN,2024-06-12
PHI,BOS,2024-06-12
MIA,NYM,2024-06-12
PIT,STL,2024-06-12
NYY,KCR,2024-06-12
LAA,ARI,2024-06-12
CHW,SEA,2024-06-12
TEX,LAD,2024-06-12
ATL,BAL,2024-06-13
WSN,DET,2024-06-13
NYY,KCR,2024-06-13
PIT,STL,2024-06-13
CHC,TBR,2024-06-13
PHI,BOS,2024-06-13
MIA,NYM,2024-06-13
OAK,MIN,2024-06-13
LAA,ARI,2024-06-13
CHW,SEA,2024-06-13
TEX,LAD,2024-06-13
STL,CHC,2024-06-14
MIA,WSN,2024-06-14
PHI,BAL,2024-06-14
CLE,TOR,2024-06-14
SDP,NYM,2024-06-14
NYY,BOS,2024-06-14
TBR,ATL,2024-06-14
DET,HOU,2024-06-14
OAK,MIN,2024-06-14
CIN,MIL,2024-06-14
PIT,COL,2024-06-14
CHW,ARI,2024-06-14
KCR,LAD,2024-06-14
TEX,SEA,2024-06-14
LAA,SFG,2024-06-14
OAK,MIN,2024-06-15
STL,CHC,2024-06-15
CLE,TOR,2024-06-15
LAA,SFG,2024-06-15
PHI,BAL,2024-06-15
MIA,WSN,2024-06-15
DET,HOU,2024-06-15
SDP,NYM,2024-06-15
TBR,ATL,2024-06-15
CIN,MIL,2024-06-15
TEX,SEA,2024-06-15
NYY,BOS,2024-06-15
KCR,LAD,2024-06-15
PIT,COL,2024-06-15
CHW,ARI,2024-06-15
PHI,BAL,2024-06-16
TBR,ATL,2024-06-16
MIA,WSN,2024-06-16
CLE,TOR,2024-06-16
SDP,NYM,2024-06-16
DET,HOU,2024-06-16
OAK,MIN,2024-06-16
CIN,MIL,2024-06-16
STL,CHC,2024-06-16
PIT,COL,2024-06-16
LAA,SFG,2024-06-16
KCR,LAD,2024-06-16
TEX,SEA,2024-06-16
CHW,ARI,2024-06-16
NYY,BOS,2024-06-16
CIN,PIT,2024-06-17
SDP,PHI,2024-06-17
STL,MIA,2024-06-17
BOS,TOR,2024-06-17
DET,ATL,2024-06-17
SFG,CHC,2024-06-17
NYM,TEX,2024-06-17
LAD,COL,2024-06-17
MIL,LAA,2024-06-17
CIN,PIT,2024-06-18
SEA,CLE,2024-06-18
SDP,PHI,2024-06-18
STL,MIA,2024-06-18
ARI,WSN,2024-06-18
BAL,NYY,2024-06-18
BOS,TOR,2024-06-18
DET,ATL,2024-06-18
TBR,MIN,2024-06-18
SFG,CHC,2024-06-18
NYM,TEX,2024-06-18
HOU,CHW,2024-06-18
LAD,COL,2024-06-18
MIL,LAA,2024-06-18
KCR,OAK,2024-06-18
DET,ATL,2024-06-19
CIN,PIT,2024-06-19
STL,MIA,2024-06-19
SDP,PHI,2024-06-19
SFG,CHC,2024-06-19
ARI,WSN,2024-06-19
SEA,CLE,2024-06-19
BAL,NYY,2024-06-19
BOS,TOR,2024-06-19
TBR,MIN,2024-06-19
NYM,TEX,2024-06-19
HOU,CHW,2024-06-19
LAD,COL,2024-06-19
MIL,LAA,2024-06-19
KCR,OAK,2024-06-19
ARI,WSN,2024-06-20
SEA,CLE,2024-06-20
TBR,MIN,2024-06-20
HOU,CHW,2024-06-20
LAD,COL,2024-06-20
KCR,OAK,2024-06-20
BAL,NYY,2024-06-20
SFG,STL,2024-06-20
MIL,SDP,2024-06-20
NYM,CHC,2024-06-21
TBR,PIT,2024-06-21
ARI,PHI,2024-06-21
CHW,DET,2024-06-21
ATL,NYY,2024-06-21
BOS,CIN,2024-06-21
TOR,CLE,2024-06-21
SEA,MIA,2024-06-21
KCR,TEX,2024-06-21
BAL,HOU,2024-06-21
WSN,COL,2024-06-21
MIN,OAK,2024-06-21
MIL,SDP,2024-06-21
LAA,LAD,2024-06-21
CHW,DET,2024-06-22
SFG,STL,2024-06-22
NYM,CHC,2024-06-22
TBR,PIT,2024-06-22
KCR,TEX,2024-06-22
ARI,PHI,2024-06-22
MIN,OAK,2024-06-22
BOS,CIN,2024-06-22
BAL,HOU,2024-06-22
TOR,CLE,2024-06-22
SEA,MIA,2024-06-22
ATL,NYY,2024-06-22
MIL,SDP,2024-06-22
WSN,COL,2024-06-22
LAA,LAD,2024-06-22
TBR,PIT,2024-06-23
ARI,PHI,2024-06-23
ATL,NYY,2024-06-23
BOS,CIN,2024-06-23
TOR,CLE,2024-06-23
CHW,DET,2024-06-23
SEA,MIA,2024-06-23
BAL,HOU,2024-06-23
SFG,STL,2024-06-23
NYM,CHC,2024-06-23
KCR,TEX,2024-06-23
WSN,COL,2024-06-23
MIN,OAK,2024-06-23
MIL,SDP,2024-06-23
CLE,BAL,2024-06-24
PHI,DET,2024-06-24
SEA,TBR,2024-06-24
PIT,CIN,2024-06-24
TOR,BOS,2024-06-24
ATL,STL,2024-06-24
LAD,CHW,2024-06-24
MIA,KCR,2024-06-24
TEX,MIL,2024-06-24
OAK,LAA,2024-06-24
WSN,SDP,2024-06-24
CHC,SFG,2024-06-24
CLE,BAL,2024-06-25
PHI,DET,2024-06-25
SEA,TBR,2024-06-25
PIT,CIN,2024-06-25
TOR,BOS,2024-06-25
NYY,NYM,2024-06-25
ATL,STL,2024-06-25
COL,HOU,2024-06-25
LAD,CHW,2024-06-25
MIA,KCR,2024-06-25
TEX,MIL,2024-06-25
OAK,LAA,2024-06-25
WSN,SDP,2024-06-25
MIN,ARI,2024-06-25
CHC,SFG,2024-06-25
SEA,TBR,2024-06-26
PIT,CIN,2024-06-26
PHI,DET,2024-06-26
COL,HOU,2024-06-26
MIA,KCR,2024-06-26
TEX,MIL,2024-06-26
OAK,LAA,2024-06-26
WSN,SDP,2024-06-26
CLE,BAL,2024-06-26
TOR,BOS,2024-06-26
NYY,NYM,2024-06-26
ATL,STL,2024-06-26
LAD,CHW,2024-06-26
MIN,ARI,2024-06-26
CHC,SFG,2024-06-26
MIN,ARI,2024-06-27
CHC,SFG,2024-06-27
MIA,PHI,2024-06-27
TEX,BAL,2024-06-27
NYY,TOR,2024-06-27
CIN,STL,2024-06-27
CLE,KCR,2024-06-27
DET,LAA,2024-06-27
MIA,PHI,2024-06-28
WSN,TBR,2024-06-28
TEX,BAL,2024-06-28
NYY,TOR,2024-06-28
HOU,NYM,2024-06-28
SDP,BOS,2024-06-28
COL,CHW,2024-06-28
PIT,ATL,2024-06-28
CLE,KCR,2024-06-28
CHC,MIL,2024-06-28
CIN,STL,2024-06-28
DET,LAA,2024-06-28
OAK,ARI,2024-06-28
MIN,SEA,2024-06-28
LAD,SFG,2024-06-28
COL,CHW,2024-06-29
CIN,STL,2024-06-29
NYY,TOR,2024-06-29
MIA,PHI,2024-06-29
CLE,KCR,2024-06-29
HOU,NYM,2024-06-29
OAK,ARI,2024-06-29
SDP,BOS,2024-06-29
WSN,TBR,2024-06-29
PIT,ATL,2024-06-29
CHC,MIL,2024-06-29
LAD,SFG,2024-06-29
TEX,BAL,2024-06-29
DET,LAA,2024-06-29
MIN,SEA,2024-06-29
SDP,BOS,2024-06-30
TEX,BAL,2024-06-30
PIT,ATL,2024-06-30
MIA,PHI,2024-06-30
NYY,TOR,2024-06-30
HOU,NYM,2024-06-30
WSN,TBR,2024-06-30
CLE,KCR,2024-06-30
COL,CHW,2024-06-30
CHC,MIL,2024-06-30
CIN,STL,2024-06-30
LAD,SFG,2024-06-30
DET,LAA,2024-06-30
OAK,ARI,2024-06-30
MIN,SEA,2024-06-30
HOU,TOR,2024-07-01
NYM,WSN,2024-07-01
MIL,COL,2024-07-01
STL,PIT,2024-07-02
CHW,CLE,2024-07-02
BOS,MIA,2024-07-02
NYM,WSN,2024-07-02
CIN,NYY,2024-07-02
HOU,TOR,2024-07-02
SFG,ATL,2024-07-02
DET,MIN,2024-07-02
SDP,TEX,2024-07-02
PHI,CHC,2024-07-02
TBR,KCR,2024-07-02
MIL,COL,2024-07-02
LAA,OAK,2024-07-02
BAL,SEA,2024-07-02
ARI,LAD,2024-07-02
STL,PIT,2024-07-03
CHW,CLE,2024-07-03
BOS,MIA,2024-07-03
NYM,WSN,2024-07-03
CIN,NYY,2024-07-03
HOU,TOR,2024-07-03
SFG,ATL,2024-07-03
SDP,TEX,2024-07-03
PHI,CHC,2024-07-03
TBR,KCR,2024-07-03
DET,MIN,2024-07-03
MIL,COL,2024-07-03
LAA,OAK,2024-07-03
ARI,LAD,2024-07-03
BAL,SEA,2024-07-03
NYM,WSN,2024-07-04
STL,PIT,2024-07-04
CIN,NYY,2024-07-04
HOU,TOR,2024-07-04
CHW,CLE,2024-07-04
BOS,MIA,2024-07-04
DET,MIN,2024-07-04
PHI,CHC,2024-07-04
SDP,TEX,2024-07-04
LAA,OAK,2024-07-04
BAL,SEA,2024-07-04
SFG,ATL,2024-07-04
TBR,KCR,2024-07-04
MIL,COL,2024-07-04
ARI,LAD,2024-07-04
LAA,CHC,2024-07-05
NYM,PIT,2024-07-05
STL,WSN,2024-07-05
BOS,NYY,2024-07-05
DET,CIN,2024-07-05
SFG,CLE,2024-07-05
CHW,MIA,2024-07-05
PHI,ATL,2024-07-05
TBR,TEX,2024-07-05
KCR,COL,2024-07-05
HOU,MIN,2024-07-05
BAL,OAK,2024-07-05
ARI,SDP,2024-07-05
TOR,SEA,2024-07-05
MIL,LAD,2024-07-05
BOS,NYY,2024-07-06
HOU,MIN,2024-07-06
LAA,CHC,2024-07-06
NYM,PIT,2024-07-06
STL,WSN,2024-07-06
TBR,TEX,2024-07-06
BAL,OAK,2024-07-06
DET,CIN,2024-07-06
SFG,CLE,2024-07-06
TOR,SEA,2024-07-06
CHW,MIA,2024-07-06
PHI,ATL,2024-07-06
MIL,LAD,2024-07-06
KCR,COL,2024-07-06
ARI,SDP,2024-07-06
NYM,PIT,2024-07-07
STL,WSN,2024-07-07
PHI,ATL,2024-07-07
BOS,NYY,2024-07-07
DET,CIN,2024-07-07
SFG,CLE,2024-07-07
CHW,MIA,2024-07-07
HOU,MIN,2024-07-07
LAA,CHC,2024-07-07
TBR,TEX,2024-07-07
KCR,COL,2024-07-07
BAL,OAK,2024-07-07
ARI,SDP,2024-07-07
TOR,SEA,2024-07-07
MIL,LAD,2024-07-07
NYM,PIT,2024-07-08
STL,WSN,2024-07-08
CLE,DET,2024-07-08
COL,CIN,2024-07-08
MIN,CHW,2024-07-08
TEX,LAA,2024-07-08
ATL,ARI,2024-07-08
CHC,BAL,2024-07-09
CLE,DET,2024-07-09
LAD,PHI,2024-07-09
NYY,TBR,2024-07-09
COL,CIN,2024-07-09
WSN,NYM,2024-07-09
OAK,BOS,2024-07-09
KCR,STL,2024-07-09
MIN,CHW,2024-07-09
MIA,HOU,2024-07-09
PIT,MIL,2024-07-09
TEX,LAA,2024-07-09
SEA,SDP,2024-07-09
ATL,ARI,2024-07-09
TOR,SFG,2024-07-09
MIN,CHW,2024-07-10
CHC,BAL,2024-07-10
CLE,DET,2024-07-10
SEA,SDP,2024-07-10
NYY,TBR,2024-07-10
LAD,PHI,2024-07-10
COL,CIN,2024-07-10
WSN,NYM,2024-07-10
OAK,BOS,2024-07-10
KCR,STL,2024-07-10
MIA,HOU,2024-07-10
PIT,MIL,2024-07-10
TEX,LAA,2024-07-10
ATL,ARI,2024-07-10
TOR,SFG,2024-07-10
COL,CIN,2024-07-11
CLE,DET,2024-07-11
WSN,NYM,2024-07-11
PIT,MIL,2024-07-11
TOR,SFG,2024-07-11
LAD,PHI,2024-07-11
CHC,BAL,2024-07-11
NYY,TBR,2024-07-11
OAK,BOS,2024-07-11
MIA,HOU,2024-07-11
SEA,LAA,2024-07-11
ATL,ARI,2024-07-11
LAD,DET,2024-07-12
OAK,PHI,2024-07-12
CLE,TBR,2024-07-12
NYY,BAL,2024-07-12
KCR,BOS,2024-07-12
COL,NYM,2024-07-12
MIA,CIN,2024-07-12
TEX,HOU,2024-07-12
PIT,CHW,2024-07-12
WSN,MIL,2024-07-12
CHC,STL,2024-07-12
SEA,LAA,2024-07-12
TOR,ARI,2024-07-12
ATL,SDP,2024-07-12
MIN,SFG,2024-07-12
LAD,DET,2024-07-13
PIT,CHW,2024-07-13
CHC,STL,2024-07-13
OAK,PHI,2024-07-13
NYY,BAL,2024-07-13
KCR,BOS,2024-07-13
COL,NYM,2024-07-13
CLE,TBR,2024-07-13
TEX,HOU,2024-07-13
MIA,CIN,2024-07-13
WSN,MIL,2024-07-13
MIN,SFG,2024-07-13
ATL,SDP,2024-07-13
SEA,LAA,2024-07-13
TOR,ARI,2024-07-13
KCR,BOS,2024-07-14
OAK,PHI,2024-07-14
NYY,BAL,2024-07-14
LAD,DET,2024-07-14
COL,NYM,2024-07-14
CLE,TBR,2024-07-14
MIA,CIN,2024-07-14
TEX,HOU,2024-07-14
PIT,CHW,2024-07-14
WSN,MIL,2024-07-14
CHC,STL,2024-07-14
MIN,SFG,2024-07-14
SEA,LAA,2024-07-14
TOR,ARI,2024-07-14
ATL,SDP,2024-07-14
ARI,CHC,2024-07-19
PHI,PIT,2024-07-19
CIN,WSN,2024-07-19
TBR,NYY,2024-07-19
DET,TOR,2024-07-19
SDP,CLE,2024-07-19
NYM,MIA,2024-07-19
STL,ATL,2024-07-19
BAL,TEX,2024-07-19
CHW,KCR,2024-07-19
SFG,COL,2024-07-19
LAA,OAK,2024-07-19
BOS,LAD,2024-07-19
HOU,SEA,2024-07-19
TBR,NYY,2024-07-20
DET,TOR,2024-07-20
LAA,OAK,2024-07-20
NYM,MIA,2024-07-20
PHI,PIT,2024-07-20
CIN,WSN,2024-07-20
BAL,TEX,2024-07-20
SDP,CLE,2024-07-20
CHW,KCR,2024-07-20
MIL,MIN,2024-07-20
ARI,CHC,2024-07-20
BOS,LAD,2024-07-20
STL,ATL,2024-07-20
SFG,COL,2024-07-20
HOU,SEA,2024-07-20
CIN,WSN,2024-07-21
PHI,PIT,2024-07-21
STL,ATL,2024-07-21
TBR,NYY,2024-07-21
DET,TOR,2024-07-21
SDP,CLE,2024-07-21
NYM,MIA,2024-07-21
CHW,KCR,2024-07-21
MIL,MIN,2024-07-21
ARI,CHC,2024-07-21
BAL,TEX,2024-07-21
SFG,COL,2024-07-21
LAA,OAK,2024-07-21
BOS,LAD,2024-07-21
HOU,SEA,2024-07-21
TBR,NYY,2024-07-22
DET,CLE,2024-07-22
STL,PIT,2024-07-22
NYM,MIA,2024-07-22
CIN,ATL,2024-07-22
PHI,MIN,2024-07-22
CHW,TEX,2024-07-22
MIL,CHC,2024-07-22
ARI,KCR,2024-07-22
BOS,COL,2024-07-22
HOU,OAK,2024-07-22
LAA,SEA,2024-07-22
SFG,LAD,2024-07-22
DET,CLE,2024-07-23
STL,PIT,2024-07-23
BAL,MIA,2024-07-23
SDP,WSN,2024-07-23
NYM,NYY,2024-07-23
TBR,TOR,2024-07-23
CIN,ATL,2024-07-23
PHI,MIN,2024-07-23
CHW,TEX,2024-07-23
MIL,CHC,2024-07-23
ARI,KCR,2024-07-23
BOS,COL,2024-07-23
HOU,OAK,2024-07-23
LAA,SEA,2024-07-23
SFG,LAD,2024-07-23
CIN,ATL,2024-07-24
STL,PIT,2024-07-24
PHI,MIN,2024-07-24
MIL,CHC,2024-07-24
BOS,COL,2024-07-24
HOU,OAK,2024-07-24
LAA,SEA,2024-07-24
DET,CLE,2024-07-24
BAL,MIA,2024-07-24
SDP,WSN,2024-07-24
NYM,NYY,2024-07-24
TBR,TOR,2024-07-24
CHW,TEX,2024-07-24
ARI,KCR,2024-07-24
SFG,LAD,2024-07-24
SDP,WSN,2024-07-25
BAL,MIA,2024-07-25
DET,CLE,2024-07-25
CHW,TEX,2024-07-25
TBR,TOR,2024-07-25
SFG,LAD,2024-07-25
ATL,NYM,2024-07-25
OAK,LAA,2024-07-25
MIN,DET,2024-07-26
CLE,PHI,2024-07-26
CIN,TBR,2024-07-26
SDP,BAL,2024-07-26
TEX,TOR,2024-07-26
ATL,NYM,2024-07-26
NYY,BOS,2024-07-26
CHC,KCR,2024-07-26
LAD,HOU,2024-07-26
SEA,CHW,2024-07-26
MIA,MIL,2024-07-26
WSN,STL,2024-07-26
OAK,LAA,2024-07-26
PIT,ARI,2024-07-26
COL,SFG,2024-07-26
TEX,TOR,2024-07-27
SDP,BAL,2024-07-27
CIN,TBR,2024-07-27
ATL,NYM,2024-07-27
CLE,PHI,2024-07-27
MIN,DET,2024-07-27
COL,SFG,2024-07-27
COL,SFG,2024-07-27
CHC,KCR,2024-07-27
LAD,HOU,2024-07-27
MIA,MIL,2024-07-27
WSN,STL,2024-07-27
SEA,CHW,2024-07-27
NYY,BOS,2024-07-27
PIT,ARI,2024-07-27
OAK,LAA,2024-07-27
SDP,BAL,2024-07-28
CLE,PHI,2024-07-28
NYY,BOS,2024-07-28
TEX,TOR,2024-07-28
CIN,TBR,2024-07-28
MIN,DET,2024-07-28
ATL,NYM,2024-07-28
CHC,KCR,2024-07-28
LAD,HOU,2024-07-28
SEA,CHW,2024-07-28
MIA,MIL,2024-07-28
WSN,STL,2024-07-28
COL,SFG,2024-07-28
OAK,LAA,2024-07-28
PIT,ARI,2024-07-28
TOR,BAL,2024-07-29
CLE,DET,2024-07-29
NYY,PHI,2024-07-29
CHC,CIN,2024-07-29
SEA,BOS,2024-07-29
MIN,NYM,2024-07-29
TEX,STL,2024-07-29
PIT,HOU,2024-07-29
KCR,CHW,2024-07-29
ATL,MIL,2024-07-29
WSN,ARI,2024-07-29
CLE,DET,2024-07-30
TOR,BAL,2024-07-30
NYY,PHI,2024-07-30
MIA,TBR,2024-07-30
CHC,CIN,2024-07-30
SEA,BOS,2024-07-30
MIN,NYM,2024-07-30
TEX,STL,2024-07-30
PIT,HOU,2024-07-30
KCR,CHW,2024-07-30
ATL,MIL,2024-07-30
COL,LAA,2024-07-30
WSN,ARI,2024-07-30
LAD,SDP,2024-07-30
OAK,SFG,2024-07-30
MIA,TBR,2024-07-31
TOR,BAL,2024-07-31
NYY,PHI,2024-07-31
MIN,NYM,2024-07-31
KCR,CHW,2024-07-31
ATL,MIL,2024-07-31
TEX,STL,2024-07-31
WSN,ARI,2024-07-31
SEA,BOS,2024-07-31
CHC,CIN,2024-07-31
PIT,HOU,2024-07-31
LAD,SDP,2024-07-31
COL,LAA,2024-07-31
OAK,SFG,2024-07-31
BAL,CLE,2024-08-01
KCR,DET,2024-08-01
MIA,ATL,2024-08-01
STL,CHC,2024-08-01
COL,LAA,2024-08-01
STL,CHC,2024-08-02
KCR,DET,2024-08-02
ARI,PIT,2024-08-02
MIL,WSN,2024-08-02
TOR,NYY,2024-08-02
BAL,CLE,2024-08-02
SFG,CIN,2024-08-02
MIA,ATL,2024-08-02
BOS,TEX,2024-08-02
TBR,HOU,2024-08-02
CHW,MIN,2024-08-02
NYM,LAA,2024-08-02
LAD,OAK,2024-08-02
COL,SDP,2024-08-02
PHI,SEA,2024-08-02
TOR,NYY,2024-08-03
STL,CHC,2024-08-03
MIL,WSN,2024-08-03
KCR,DET,2024-08-03
ARI,PIT,2024-08-03
BOS,TEX,2024-08-03
CHW,MIN,2024-08-03
BAL,CLE,2024-08-03
SFG,CIN,2024-08-03
TBR,HOU,2024-08-03
MIA,ATL,2024-08-03
COL,SDP,2024-08-03
LAD,OAK,2024-08-03
NYM,LAA,2024-08-03
PHI,SEA,2024-08-03
ARI,PIT,2024-08-04
MIA,ATL,2024-08-04
TOR,NYY,2024-08-04
MIL,WSN,2024-08-04
BAL,CLE,2024-08-04
KCR,DET,2024-08-04
SFG,CIN,2024-08-04
TBR,HOU,2024-08-04
CHW,MIN,2024-08-04
STL,CHC,2024-08-04
BOS,TEX,2024-08-04
NYM,LAA,2024-08-04
LAD,OAK,2024-08-04
COL,SDP,2024-08-04
PHI,SEA,2024-08-04
ARI,CLE,2024-08-05
CIN,MIA,2024-08-05
SFG,WSN,2024-08-05
HOU,TEX,2024-08-05
MIN,CHC,2024-08-05
BOS,KCR,2024-08-05
CHW,OAK,2024-08-05
PHI,LAD,2024-08-05
ARI,CLE,2024-08-06
SDP,PIT,2024-08-06
CIN,MIA,2024-08-06
SFG,WSN,2024-08-06
LAA,NYY,2024-08-06
BAL,TOR,2024-08-06
MIL,ATL,2024-08-06
TBR,STL,2024-08-06
HOU,TEX,2024-08-06
MIN,CHC,2024-08-06
BOS,KCR,2024-08-06
NYM,COL,2024-08-06
DET,SEA,2024-08-06
CHW,OAK,2024-08-06
PHI,LAD,2024-08-06
ARI,CLE,2024-08-07
MIN,CHC,2024-08-07
HOU,TEX,2024-08-07
CHW,OAK,2024-08-07
SDP,PIT,2024-08-07
CIN,MIA,2024-08-07
SFG,WSN,2024-08-07
LAA,NYY,2024-08-07
BAL,TOR,2024-08-07
MIL,ATL,2024-08-07
TBR,STL,2024-08-07
BOS,KCR,2024-08-07
NYM,COL,2024-08-07
DET,SEA,2024-08-07
PHI,LAD,2024-08-07
MIL,ATL,2024-08-08
SDP,PIT,2024-08-08
NYM,COL,2024-08-08
SFG,WSN,2024-08-08
CIN,MIA,2024-08-08
LAA,NYY,2024-08-08
BAL,TOR,2024-08-08
TBR,STL,2024-08-08
DET,SEA,2024-08-08
PHI,ARI,2024-08-08
LAA,WSN,2024-08-09
BAL,TBR,2024-08-09
TEX,NYY,2024-08-09
OAK,TOR,2024-08-09
HOU,BOS,2024-08-09
SDP,MIA,2024-08-09
STL,KCR,2024-08-09
CLE,MIN,2024-08-09
CHC,CHW,2024-08-09
CIN,MIL,2024-08-09
ATL,COL,2024-08-09
PHI,ARI,2024-08-09
PIT,LAD,2024-08-09
NYM,SEA,2024-08-09
DET,SFG,2024-08-09
TEX,NYY,2024-08-10
OAK,TOR,2024-08-10
DET,SFG,2024-08-10
HOU,BOS,2024-08-10
SDP,MIA,2024-08-10
LAA,WSN,2024-08-10
STL,KCR,2024-08-10
CLE,MIN,2024-08-10
CIN,MIL,2024-08-10
BAL,TBR,2024-08-10
CHC,CHW,2024-08-10
PHI,ARI,2024-08-10
ATL,COL,2024-08-10
PIT,LAD,2024-08-10
NYM,SEA,2024-08-10
HOU,BOS,2024-08-11
LAA,WSN,2024-08-11
TEX,NYY,2024-08-11
OAK,TOR,2024-08-11
BAL,TBR,2024-08-11
SDP,MIA,2024-08-11
CLE,MIN,2024-08-11
CIN,MIL,2024-08-11
ATL,COL,2024-08-11
DET,SFG,2024-08-11
PIT,LAD,2024-08-11
NYM,SEA,2024-08-11
PHI,ARI,2024-08-11
CHC,CLE,2024-08-12
STL,CIN,2024-08-12
HOU,TBR,2024-08-12
TEX,BOS,2024-08-12
KCR,MIN,2024-08-12
NYY,CHW,2024-08-12
LAD,MIL,2024-08-12
TOR,LAA,2024-08-12
COL,ARI,2024-08-12
PIT,SDP,2024-08-12
ATL,SFG,2024-08-12
WSN,BAL,2024-08-13
CHC,CLE,2024-08-13
SEA,DET,2024-08-13
STL,CIN,2024-08-13
MIA,PHI,2024-08-13
HOU,TBR,2024-08-13
OAK,NYM,2024-08-13
TEX,BOS,2024-08-13
KCR,MIN,2024-08-13
NYY,CHW,2024-08-13
LAD,MIL,2024-08-13
TOR,LAA,2024-08-13
COL,ARI,2024-08-13
PIT,SDP,2024-08-13
ATL,SFG,2024-08-13
KCR,MIN,2024-08-14
COL,ARI,2024-08-14
PIT,SDP,2024-08-14
TEX,BOS,2024-08-14
WSN,BAL,2024-08-14
CHC,CLE,2024-08-14
SEA,DET,2024-08-14
STL,CIN,2024-08-14
MIA,PHI,2024-08-14
HOU,TBR,2024-08-14
OAK,NYM,2024-08-14
NYY,CHW,2024-08-14
LAD,MIL,2024-08-14
TOR,LAA,2024-08-14
ATL,SFG,2024-08-14
OAK,NYM,2024-08-15
SEA,DET,2024-08-15
LAD,MIL,2024-08-15
ATL,SFG,2024-08-15
BOS,BAL,2024-08-15
WSN,PHI,2024-08-15
MIN,TEX,2024-08-15
TOR,CHC,2024-08-16
KCR,CIN,2024-08-16
SEA,PIT,2024-08-16
WSN,PHI,2024-08-16
NYY,DET,2024-08-16
ARI,TBR,2024-08-16
BOS,BAL,2024-08-16
MIA,NYM,2024-08-16
MIN,TEX,2024-08-16
CHW,HOU,2024-08-16
CLE,MIL,2024-08-16
LAD,STL,2024-08-16
SDP,COL,2024-08-16
ATL,LAA,2024-08-16
SEA,PIT,2024-08-17
NYY,DET,2024-08-17
TOR,CHC,2024-08-17
BOS,BAL,2024-08-17
ARI,TBR,2024-08-17
MIA,NYM,2024-08-17
WSN,PHI,2024-08-17
KCR,CIN,2024-08-17
MIN,TEX,2024-08-17
SFG,OAK,2024-08-17
CHW,HOU,2024-08-17
LAD,STL,2024-08-17
CLE,MIL,2024-08-17
SDP,COL,2024-08-17
ATL,LAA,2024-08-17
BOS,BAL,2024-08-18
SEA,PIT,2024-08-18
WSN,PHI,2024-08-18
KCR,CIN,2024-08-18
ARI,TBR,2024-08-18
MIA,NYM,2024-08-18
CHW,HOU,2024-08-18
CLE,MIL,2024-08-18
LAD,STL,2024-08-18
TOR,CHC,2024-08-18
MIN,TEX,2024-08-18
SDP,COL,2024-08-18
SFG,OAK,2024-08-18
ATL,LAA,2024-08-18
NYY,DET,2024-08-18
ARI,MIA,2024-08-19
CIN,TOR,2024-08-19
BAL,NYM,2024-08-19
PIT,TEX,2024-08-19
BOS,HOU,2024-08-19
LAA,KCR,2024-08-19
TBR,OAK,2024-08-19
MIN,SDP,2024-08-19
CHW,SFG,2024-08-19
SEA,LAD,2024-08-19
ARI,MIA,2024-08-20
COL,WSN,2024-08-20
CLE,NYY,2024-08-20
CIN,TOR,2024-08-20
BAL,NYM,2024-08-20
PHI,ATL,2024-08-20
MIL,STL,2024-08-20
DET,CHC,2024-08-20
