away,home,date
MIL,BAL,2024-04-13
WSN,OAK,2024-04-13
LAA,BOS,2024-04-13
SFG,TBR,2024-04-13
ATL,MIA,2024-04-13
NYY,CLE,2024-04-13
STL,ARI,2024-04-13
SDP,LAD,2024-04-13
CHC,SEA,2024-04-13
LAA,BOS,2024-04-14
PIT,PHI,2024-04-14
MIL,BAL,2024-04-14
COL,TOR,2024-04-14
KCR,NYM,2024-04-14
SFG,TBR,2024-04-14
MIN,DET,2024-04-14
ATL,MIA,2024-04-14
NYY,CLE,2024-04-14
TEX,HOU,2024-04-14
CIN,CHW,2024-04-14
WSN,OAK,2024-04-14
CHC,SEA,2024-04-14
STL,ARI,2024-04-14
SDP,LAD,2024-04-14
CLE,BOS,2024-04-15
MIN,BAL,2024-04-15
TEX,DET,2024-04-15
COL,PHI,2024-04-15
SFG,MIA,2024-04-15
LAA,TBR,2024-04-15
NYY,TOR,2024-04-15
PIT,NYM,2024-04-15
KCR,CHW,2024-04-15
SDP,MIL,2024-04-15
ATL,HOU,2024-04-15
CHC,ARI,2024-04-15
STL,OAK,2024-04-15
CIN,SEA,2024-04-15
WSN,LAD,2024-04-15
TEX,DET,2024-04-16
MIN,BAL,2024-04-16
COL,PHI,2024-04-16
SFG,MIA,2024-04-16
LAA,TBR,2024-04-16
NYY,TOR,2024-04-16
CLE,BOS,2024-04-16
PIT,NYM,2024-04-16
KCR,CHW,2024-04-16
SDP,MIL,2024-04-16
ATL,HOU,2024-04-16
CHC,ARI,2024-04-16
CIN,SEA,2024-04-16
STL,OAK,2024-04-16
WSN,LAD,2024-04-16
SFG,MIA,2024-04-17
MIN,BAL,2024-04-17
PIT,NYM,2024-04-17
TEX,DET,2024-04-17
SDP,MIL,2024-04-17
ATL,HOU,2024-04-17
KCR,CHW,2024-04-17
NYY,TOR,2024-04-17
WSN,LAD,2024-04-17
STL,OAK,2024-04-17
CHC,ARI,2024-04-17
CIN,SEA,2024-04-17
COL,PHI,2024-04-17
LAA,TBR,2024-04-17
CLE,BOS,2024-04-17
LAA,TBR,2024-04-18
TEX,DET,2024-04-18
CLE,BOS,2024-04-18
MIA,CHC,2024-04-18
ARI,SFG,2024-04-18
MIA,CHC,2024-04-19
LAA,CIN,2024-04-19
BOS,PIT,2024-04-19
CHW,PHI,2024-04-19
HOU,WSN,2024-04-19
TBR,NYY,2024-04-19
OAK,CLE,2024-04-19
TEX,ATL,2024-04-19
BAL,KCR,2024-04-19
DET,MIN,2024-04-19
MIL,STL,2024-04-19
SEA,COL,2024-04-19
TOR,SDP,2024-04-19
NYM,LAD,2024-04-19
ARI,SFG,2024-04-19
TBR,NYY,2024-04-20
DET,MIN,2024-04-20
MIL,STL,2024-04-20
MIA,CHC,2024-04-20
HOU,WSN,2024-04-20
NYM,LAD,2024-04-20
BOS,PIT,2024-04-20
ARI,SFG,2024-04-20
CHW,PHI,2024-04-20
OAK,CLE,2024-04-20
LAA,CIN,2024-04-20
BAL,KCR,2024-04-20
TEX,ATL,2024-04-20
SEA,COL,2024-04-20
TOR,SDP,2024-04-20
HOU,WSN,2024-04-21
BOS,PIT,2024-04-21
CHW,PHI,2024-04-21
TBR,NYY,2024-04-21
LAA,CIN,2024-04-21
OAK,CLE,2024-04-21
BAL,KCR,2024-04-21
DET,MIN,2024-04-21
