rank,player,year,age,team,league,war,games,plate_appearances,at_bats,runs,hits,doubles,triples,home_runs,runs_batted_in,stolen_bases,caught_stealing,walks,strikeouts,batting_average,on_base_percentage,slugging_percentage,on_base_plus_slugging,on_base_plus_slugging_plus,runs_above_base_average,rbat_plus,total_bases,double_plays,hit_by_puitch,sacrifice_bunts,sacrifice_flies,intentional_walks,awards
437,Garrett Cooper,2024,33,2TM,2LG,-0.8,36,116,107,6,22,5,1,1,11,0,0,7,35,0.206,0.267,0.299,0.566,59,0.253,53,32,3,2,0,0,0,NA
456,Ben Gamel,2024,32,2TM,2LG,0.2,38,99,81,22,20,4,0,1,4,1,0,18,24,0.247,0.384,0.333,0.717,109,0.338,118,27,0,0,0,0,1,NA
471,Zack Short,2024,29,3TM,2LG,-0.1,42,88,70,11,9,3,0,0,5,2,1,14,24,0.129,0.282,0.171,0.454,32,0.239,42,12,0,1,3,0,0,NA
471,Zack Short,2024,29,2TM,NL,0.1,40,81,63,11,9,3,0,0,5,2,1,14,20,0.143,0.308,0.19,0.498,45,0.26,57,12,0,1,3,0,0,NA
492,Jacob Amaya,2024,25,2TM,AL,-0.1,24,72,68,4,12,1,0,0,3,1,0,4,28,0.176,0.222,0.191,0.413,21,0.191,13,13,3,0,0,0,0,NA
502,Jonatan Clase,2024,22,2TM,AL,-0.1,26,66,61,7,15,2,0,1,5,3,1,3,17,0.246,0.303,0.328,0.631,86,0.299,94,20,1,2,0,0,0,NA
507,Pablo Reyes,2024,30,2TM,2LG,-0.7,22,64,60,5,11,2,0,0,5,1,2,3,19,0.183,0.234,0.217,0.451,27,0.196,20,13,1,1,0,0,0,NA
560,Forrest Wall,2024,28,2TM,NL,0,16,35,32,4,8,0,0,0,1,4,3,3,8,0.25,0.314,0.25,0.564,61,0.235,52,8,0,0,0,0,0,NA
561,Aledmys Díaz,2024,33,2TM,AL,-0.6,14,34,33,2,3,0,0,0,1,0,0,1,9,0.091,0.118,0.091,0.209,-38,0.099,-49,3,0,0,0,0,0,NA
562,Niko Goodrum,2024,32,2TM,AL,-0.8,13,33,29,2,3,0,0,0,0,1,1,3,10,0.103,0.188,0.103,0.291,-13,0.168,1,3,0,0,1,0,0,NA
568,Tristan Gray,2024,28,2TM,2LG,-0.1,15,31,28,0,3,1,0,0,0,0,0,3,16,0.107,0.194,0.143,0.336,-1,0.164,-5,4,0,0,0,0,0,NA
577,Joey Wiemer,2024,25,2TM,NL,-0.2,21,28,26,2,4,0,0,0,0,1,1,2,9,0.154,0.214,0.154,0.368,5,0.165,-5,4,0,0,0,0,0,NA
582,Buddy Kennedy,2024,25,2TM,2LG,0.2,14,26,21,3,4,1,0,1,6,1,0,4,7,0.19,0.308,0.381,0.689,94,0.311,90,8,0,0,0,1,0,NA
596,Tyler Heineman,2024,33,2TM,AL,0.2,7,16,12,2,1,0,0,0,0,0,0,3,6,0.083,0.313,0.083,0.396,22,0.223,35,1,0,1,0,0,0,NA
597,Liván Soto,2024,24,2TM,2LG,0.1,13,16,13,1,3,1,0,0,0,0,0,3,3,0.231,0.375,0.308,0.683,102,0.318,107,4,0,0,0,0,0,NA
601,Ryan McKenna,2024,27,2TM,2LG,0.1,13,15,14,4,3,0,0,2,2,1,1,1,5,0.214,0.267,0.643,0.91,154,0.354,147,9,0,0,0,0,0,NA
627,Taylor Trammell,2024,26,2TM,2LG,-0.2,10,8,7,2,1,0,0,0,0,0,0,1,3,0.143,0.25,0.143,0.393,17,0.198,16,1,0,0,0,0,0,NA
640,Duke Ellis,2024,26,2TM,AL,-0.1,11,5,5,1,1,0,0,0,0,5,0,0,2,0.2,0.2,0.2,0.4,16,0.427,11,1,0,0,0,0,0,NA
654,Mike Baumann,2024,28,2TM,AL,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA
