player,year,age,team,league,war,wins,losses,win_loss_percentage,earned_run_average,games,games_started,games_finished,complete_games,shoutouts,saves,innings_pitched,hits,runs,earned_runs,home_runs,walks,intentional_walks,strikeouts,hit_by_pitch,balks,wild_pitches,batters_faced,era_plus,fip,whip,hits_per9,home_runs_per9,walks_per9,strikeouts_per9,strikeout_walk_ratio
Jorge López,2024,31,CHC,NL,0.6,1,1,0.5,2.03,24,0,8,0,0,2,26.2,21,6,6,3,8,0,31,0,0,0,106,199.0,3.2,1.088,7.1,1.0,2.7,10.5,3.88
Gregory Soto*,2024,29,2TM,2LG,0.2,3,5,0.375,4.42,66,0,18,0,0,2,53.0,56,30,26,4,27,3,65,8,1,4,244,94.0,3.68,1.566,9.5,0.7,4.6,11.0,2.41
Gregory Soto*,2024,29,PHI,NL,0.3,2,4,0.333,4.08,43,0,13,0,0,2,35.1,36,19,16,2,20,2,44,6,0,3,165,105.0,3.62,1.585,9.2,0.5,5.1,11.2,2.2
Gregory Soto*,2024,29,BAL,AL,-0.1,1,1,0.5,5.09,23,0,5,0,0,0,17.2,20,11,10,2,7,1,21,2,1,1,79,77.0,3.79,1.528,10.2,1.0,3.6,10.7,3.0
Seth Martinez,2024,29,HOU,AL,0.4,3,2,0.6,3.59,44,0,14,0,0,1,52.2,49,24,21,7,18,1,36,4,2,0,222,112.0,4.78,1.272,8.4,1.2,3.1,6.2,2.0
Craig Kimbrel,2024,36,BAL,AL,-1.1,7,5,0.583,5.33,57,0,39,0,0,23,52.1,40,35,31,7,31,1,73,5,1,3,232,72.0,4.18,1.357,6.9,1.2,5.3,12.6,2.35
Randy Rodríguez,2024,24,SFG,NL,-0.2,3,2,0.6,4.3,35,1,8,0,0,0,52.1,47,29,25,4,18,0,53,3,0,4,221,91.0,3.34,1.242,8.1,0.7,3.1,9.1,2.94
José Suarez*,2024,26,LAA,AL,-0.6,1,2,0.333,6.02,22,3,7,0,0,1,52.1,57,38,35,7,27,0,56,4,0,1,240,70.0,4.54,1.605,9.8,1.2,4.6,9.6,2.07
John Schreiber,2024,30,KCR,AL,0.5,4,3,0.571,3.66,59,0,5,0,0,2,51.2,48,23,21,1,20,1,46,4,0,1,224,113.0,3.03,1.316,8.4,0.2,3.5,8.0,2.3
Huascar Brazobán,2024,34,2TM,NL,0.3,1,3,0.25,3.83,39,0,4,0,0,0,51.2,38,26,22,2,25,0,51,3,0,4,217,109.0,3.32,1.219,6.6,0.3,4.4,8.9,2.04
Huascar Brazobán,2024,34,MIA,NL,0.4,1,2,0.333,2.93,20,0,1,0,0,0,30.2,20,14,10,1,11,0,34,2,0,1,125,148.0,2.64,1.011,5.9,0.3,3.2,10.0,3.09
Huascar Brazobán,2024,34,NYM,NL,-0.1,0,1,0.0,5.14,19,0,3,0,0,0,21.0,18,12,12,1,14,0,17,1,0,3,92,76.0,4.31,1.524,7.7,0.4,6.0,7.3,1.21
Tyler Ferguson,2024,30,OAK,AL,0.7,4,2,0.667,3.68,48,0,15,0,0,2,51.1,32,23,21,4,24,2,62,2,1,1,207,108.0,3.28,1.091,5.6,0.7,4.2,10.9,2.58
