player,year,age,team,league,war,wins,losses,win_loss_percentage,earned_run_average,games,games_started,games_finished,complete_games,shoutouts,saves,innings_pitched,hits,runs,earned_runs,home_runs,walks,intentional_walks,strikeouts,hit_by_pitch,balks,wild_pitches,batters_faced,era_plus,fip,whip,hits_per9,home_runs_per9,walks_per9,strikeouts_per9,strikeout_walk_ratio
Brad Keller,2024,28,2TM,AL,-0.2,0,4,0.0,5.44,16,2,8,0,0,1,41.1,48,28,25,9,15,0,32,2,0,3,192,78.0,5.68,1.524,10.5,2.0,3.3,7.0,2.13
Brad Keller,2024,28,CHW,AL,0.1,0,2,0.0,4.86,5,2,2,0,0,0,16.2,17,10,9,5,6,0,13,0,0,2,76,87.0,6.59,1.38,9.2,2.7,3.2,7.0,2.17
Brad Keller,2024,28,BOS,AL,-0.3,0,2,0.0,5.84,11,0,6,0,0,1,24.2,31,18,16,4,9,0,19,2,0,1,116,73.0,5.07,1.622,11.3,1.5,3.3,6.9,2.11
Jesús Tinoco,2024,29,3TM,2LG,1.1,1,0,1.0,3.32,32,0,10,0,0,3,40.2,27,15,15,3,12,1,42,3,0,1,162,129.0,3.17,0.959,6.0,0.7,2.7,9.3,3.5
Jesús Tinoco,2024,29,2TM,NL,1.4,1,0,1.0,1.76,23,0,9,0,0,3,30.2,16,6,6,1,5,1,33,1,0,0,112,248.0,2.02,0.685,4.7,0.3,1.5,9.7,6.6
Jesús Tinoco,2024,29,TEX,AL,-0.3,0,0,,8.1,9,0,1,0,0,0,10.0,11,9,9,2,7,0,9,2,0,1,50,50.0,6.67,1.8,9.9,1.8,6.3,8.1,1.29
Jesús Tinoco,2024,29,CHC,NL,0.2,0,0,,0.0,2,0,2,0,0,0,4.0,3,0,0,0,0,0,3,0,0,0,14,,1.67,0.75,6.8,0.0,0.0,6.8,
Jesús Tinoco,2024,29,MIA,NL,1.2,1,0,1.0,2.03,21,0,7,0,0,3,26.2,13,6,6,1,5,1,30,1,0,0,98,215.0,2.08,0.675,4.4,0.3,1.7,10.1,6.0
Jake Bird,2024,28,COL,NL,0.3,2,2,0.5,4.5,35,0,5,0,0,1,40.0,43,21,20,5,25,1,31,4,0,1,185,104.0,5.42,1.7,9.7,1.1,5.6,7.0,1.24
Luis Medina,2024,25,OAK,AL,0.3,2,4,0.333,5.18,8,8,0,0,0,0,40.0,43,24,23,4,20,1,32,1,0,5,180,77.0,4.44,1.575,9.7,0.9,4.5,7.2,1.6
Matthew Boyd*,2024,33,CLE,AL,0.7,2,2,0.5,2.72,8,8,0,0,0,0,39.2,32,16,12,4,13,0,46,2,1,0,166,149.0,3.29,1.134,7.3,0.9,2.9,10.4,3.54
Paul Sewald,2024,34,ARI,NL,0.2,1,2,0.333,4.31,42,0,34,0,0,16,39.2,35,19,19,6,10,1,43,3,0,0,165,98.0,3.95,1.134,7.9,1.4,2.3,9.8,4.3
Kyle Bradish,2024,27,BAL,AL,1.0,2,0,1.0,2.75,8,8,0,0,0,0,39.1,27,12,12,2,15,0,53,3,0,2,163,140.0,2.5,1.068,6.2,0.5,3.4,12.1,3.53
Erik Swanson,2024,30,TOR,AL,-0.3,2,2,0.5,5.03,45,0,15,0,0,0,39.1,36,22,22,11,14,0,37,1,1,0,168,82.0,6.06,1.271,8.2,2.5,3.2,8.5,2.64
Alex Wood*,2024,33,OAK,AL,-0.2,1,3,0.25,5.26,9,9,0,0,0,0,39.1,51,27,23,6,19,1,33,5,1,0,186,76.0,5.3,1.78,11.7,1.4,4.3,7.6,1.74
Yimi García,2024,33,2TM,AL,0.5,3,0,1.0,3.46,39,0,8,0,0,5,39.0,23,15,15,6,12,3,49,2,0,1,153,118.0,3.73,0.897,5.3,1.4,2.8,11.3,4.08
Yimi García,2024,33,TOR,AL,0.7,3,0,1.0,2.7,29,0,8,0,0,5,30.0,16,9,9,3,8,3,42,2,0,1,115,154.0,2.67,0.8,4.8,0.9,2.4,12.6,5.25
Yimi García,2024,33,SEA,AL,-0.2,0,0,,6.0,10,0,0,0,0,0,9.0,7,6,6,3,4,0,7,0,0,0,38,64.0,7.28,1.222,7.0,3.0,4.0,7.0,1.75
Scott Alexander*,2024,34,OAK,AL,1.2,1,3,0.25,2.56,45,0,9,0,0,0,38.2,31,14,11,3,15,7,31,2,0,2,160,155.0,3.89,1.19,7.2,0.7,3.5,7.2,2.07
Joey Cantillo*,2024,24,CLE,AL,-0.1,2,4,0.333,4.89,9,8,1,0,0,0,38.2,35,22,21,6,15,0,44,0,0,4,163,83.0,4.07,1.293,8.1,1.4,3.5,10.2,2.93
Tayler Saucedo*,2024,31,SEA,AL,0.4,2,0,1.0,3.49,53,0,11,0,0,3,38.2,35,15,15,3,18,3,38,2,0,1,166,107.0,3.76,1.371,8.1,0.7,4.2,8.8,2.11
Tommy Henry*,2024,26,ARI,NL,-0.8,2,3,0.4,7.04,9,7,1,0,0,0,38.1,49,31,30,9,18,0,30,4,0,0,182,60.0,6.37,1.748,11.5,2.1,4.2,7.0,1.67
Rafael Montero,2024,33,HOU,AL,-0.1,1,2,0.333,4.7,41,0,7,0,0,0,38.1,35,21,20,8,19,0,23,3,0,0,164,86.0,6.4,1.409,8.2,1.9,4.5,5.4,1.21
Wandy Peralta*,2024,32,SDP,NL,0.4,3,2,0.6,3.99,46,0,10,0,0,0,38.1,33,19,17,6,13,0,22,5,0,2,162,104.0,5.46,1.2,7.7,1.4,3.1,5.2,1.69
Jake Cousins,2024,29,NYY,AL,0.7,2,1,0.667,2.37,37,0,6,0,0,1,38.0,20,14,10,5,20,1,53,5,0,4,155,171.0,4.06,1.053,4.7,1.2,4.7,12.6,2.65
Emilio Pagán,2024,33,CIN,NL,0.3,4,5,0.444,4.5,38,1,5,0,0,1,38.0,40,20,19,6,11,0,44,0,1,0,158,99.0,3.77,1.342,9.5,1.4,2.6,10.4,4.0
Thyago Vieira,2024,31,3TM,2LG,0.0,0,1,0.0,5.21,28,0,13,0,0,1,38.0,37,23,22,8,26,1,39,2,1,3,177,81.0,5.74,1.658,8.8,1.9,6.2,9.2,1.5
Thyago Vieira,2024,31,2TM,NL,0.0,0,1,0.0,4.5,27,0,13,0,0,1,38.0,36,20,19,8,22,1,39,2,1,2,172,93.0,5.74,1.526,8.5,1.9,5.2,9.2,1.77
Thyago Vieira,2024,31,MIL,NL,-0.2,0,0,,5.64,16,0,9,0,0,1,22.1,25,14,14,6,13,1,25,2,0,0,106,73.0,6.43,1.701,10.1,2.4,5.2,10.1,1.92
Thyago Vieira,2024,31,BAL,AL,0.0,0,0,,,1,0,0,0,0,0,0.0,1,3,3,0,4,0,0,0,0,1,5,6.0,,,,,,,0.0
Thyago Vieira,2024,31,ARI,NL,0.2,0,1,0.0,2.87,11,0,4,0,0,0,15.2,11,6,5,2,9,0,14,0,1,2,66,149.0,4.76,1.277,6.3,1.1,5.2,8.0,1.56
Ian Hamilton,2024,29,NYY,AL,0.5,0,1,0.0,3.82,35,0,5,0,0,1,37.2,37,17,16,2,14,0,41,3,0,0,163,106.0,3.03,1.354,8.8,0.5,3.3,9.8,2.93
Zebby Matthews,2024,24,MIN,AL,-0.6,1,4,0.2,6.69,9,9,0,0,0,0,37.2,51,31,28,11,11,0,43,2,0,1,177,63.0,5.71,1.646,12.2,2.6,2.6,10.3,3.91
Sam Moll*,2024,32,CIN,NL,0.8,3,2,0.6,3.35,48,0,7,0,0,0,37.2,27,16,14,3,14,2,38,2,0,0,152,134.0,3.46,1.088,6.5,0.7,3.3,9.1,2.71
Manuel Rodríguez,2024,27,TBR,AL,1.1,3,4,0.429,2.15,40,0,12,0,0,2,37.2,29,13,9,3,11,1,34,5,0,2,158,187.0,3.67,1.062,6.9,0.7,2.6,8.1,3.09
Hunter Stratton,2024,27,PIT,NL,0.6,2,1,0.667,3.58,36,0,8,0,0,1,37.2,37,17,15,3,7,0,33,3,0,2,158,119.0,3.25,1.168,8.8,0.7,1.7,7.9,4.71
Danny Young*,2024,30,NYM,NL,-0.2,4,1,0.8,4.54,42,0,13,0,0,0,37.2,29,22,19,3,18,1,48,7,0,5,165,86.0,3.64,1.248,6.9,0.7,4.3,11.5,2.67
Brent Honeywell Jr.,2024,29,2TM,NL,0.6,1,1,0.5,2.63,20,1,13,0,0,1,37.2,32,12,11,3,11,0,18,2,1,2,149,155.0,4.28,1.142,7.6,0.7,2.6,4.3,1.64
Brent Honeywell Jr.,2024,29,PIT,NL,0.1,0,0,,2.7,2,0,1,0,0,0,3.1,3,1,1,0,2,0,1,0,0,0,15,173.0,4.37,1.5,8.1,0.0,5.4,2.7,0.5
Brent Honeywell Jr.,2024,29,LAD,NL,0.5,1,1,0.5,2.62,18,1,12,0,0,1,34.1,29,11,10,3,9,0,17,2,1,2,134,153.0,4.27,1.107,7.6,0.8,2.4,4.5,1.89
Colin Poche*,2024,30,TBR,AL,0.5,1,2,0.333,3.86,43,0,7,0,0,2,37.1,30,16,16,7,13,2,33,0,0,1,153,104.0,4.88,1.152,7.2,1.7,3.1,8.0,2.54
Braxton Garrett*,2024,26,MIA,NL,0.3,2,2,0.5,5.35,7,7,0,1,1,0,37.0,40,24,22,5,4,0,34,5,0,1,161,81.0,3.81,1.189,9.7,1.2,1.0,8.3,8.5
Tyler Phillips,2024,26,PHI,NL,-0.7,4,1,0.8,6.87,8,7,1,1,1,0,36.2,45,28,28,9,7,0,28,2,0,0,160,62.0,5.57,1.418,11.0,2.2,1.7,6.9,4.0
Dillon Tate,2024,30,2TM,AL,-0.1,2,1,0.667,4.66,33,0,10,0,0,1,36.2,42,21,19,2,12,0,27,4,0,0,164,84.0,3.71,1.473,10.3,0.5,2.9,6.6,2.25
Dillon Tate,2024,30,BAL,AL,-0.1,2,1,0.667,4.59,29,0,10,0,0,1,33.1,38,19,17,2,9,0,23,4,0,0,148,84.0,3.74,1.41,10.3,0.5,2.4,6.2,2.56
Dillon Tate,2024,30,TOR,AL,0.0,0,0,,5.4,4,0,0,0,0,0,3.1,4,2,2,0,3,0,4,0,0,0,16,84.0,3.47,2.1,10.8,0.0,8.1,10.8,1.33
Mason Black,2024,24,SFG,NL,-0.5,1,5,0.167,6.44,9,8,0,0,0,0,36.1,46,26,26,7,15,0,31,3,0,0,169,61.0,5.45,1.679,11.4,1.7,3.7,7.7,2.07
Justin Wrobleski*,2024,23,LAD,NL,-0.4,1,2,0.333,5.7,8,6,1,0,0,1,36.1,34,24,23,9,16,0,26,1,0,1,154,70.0,6.36,1.376,8.4,2.2,4.0,6.4,1.63
JT Chargois,2024,33,2TM,2LG,0.9,3,1,0.75,2.23,36,0,9,0,0,0,36.1,24,9,9,6,13,1,30,2,0,0,146,182.0,4.9,1.018,5.9,1.5,3.2,7.4,2.31
JT Chargois,2024,33,MIA,NL,0.6,1,0,1.0,1.62,15,0,7,0,0,0,16.2,15,3,3,3,7,1,12,0,0,0,71,271.0,5.33,1.32,8.1,1.6,3.8,6.5,1.71
JT Chargois,2024,33,SEA,AL,0.3,2,1,0.667,2.75,21,0,2,0,0,0,19.2,9,6,6,3,6,0,18,2,0,0,75,138.0,4.54,0.763,4.1,1.4,2.7,8.2,3.0
Nick Anderson,2024,33,KCR,AL,0.3,3,1,0.75,4.04,37,0,19,0,0,1,35.2,35,17,16,6,15,1,29,1,0,1,153,103.0,5.07,1.402,8.8,1.5,3.8,7.3,1.93
Jack Leiter,2024,24,TEX,AL,-1.6,0,3,0.0,8.83,9,6,1,0,0,0,35.2,44,39,35,7,17,0,31,3,0,3,173,44.0,5.66,1.71,11.1,1.8,4.3,7.8,1.82
Nick Nastrini,2024,24,CHW,AL,-0.8,0,7,0.0,7.07,9,8,0,0,0,0,35.2,32,33,28,7,36,0,26,1,0,3,174,59.0,7.37,1.907,8.1,1.8,9.1,6.6,0.72
Sixto Sánchez,2024,25,MIA,NL,-0.5,0,3,0.0,6.06,14,7,2,0,0,0,35.2,43,29,24,3,14,0,17,3,1,1,162,72.0,4.74,1.598,10.9,0.8,3.5,4.3,1.21
Steven Okert*,2024,32,MIN,AL,-0.3,3,2,0.6,5.09,44,1,8,0,0,1,35.1,37,22,20,6,16,3,33,3,0,2,160,83.0,5.12,1.5,9.4,1.5,4.1,8.4,2.06
Dedniel Núñez,2024,28,NYM,NL,0.8,2,0,1.0,2.31,25,0,3,0,0,1,35.0,24,11,9,3,8,1,48,0,2,1,135,168.0,2.22,0.914,6.2,0.8,2.1,12.3,6.0
Jake Woodford,2024,27,2TM,2LG,-1.3,0,6,0.0,7.97,9,7,1,0,0,0,35.0,48,37,31,6,9,0,26,3,0,2,167,54.0,4.94,1.629,12.3,1.5,2.3,6.7,2.89
Jake Woodford,2024,27,CHW,AL,-0.4,0,2,0.0,10.8,2,2,0,0,0,0,8.1,15,10,10,2,5,0,7,1,0,0,46,40.0,6.77,2.4,16.2,2.2,5.4,7.6,1.4
Jake Woodford,2024,27,PIT,NL,-0.9,0,4,0.0,7.09,7,5,1,0,0,0,26.2,33,27,21,4,4,0,19,2,0,2,121,60.0,4.37,1.388,11.1,1.4,1.4,6.4,4.75
Kody Funderburk*,2024,27,MIN,AL,-0.6,1,0,1.0,6.49,27,0,6,0,0,1,34.2,41,26,25,4,15,0,32,5,1,4,161,65.0,4.55,1.615,10.6,1.0,3.9,8.3,2.13
Cristian Javier,2024,27,HOU,AL,0.4,3,1,0.75,3.89,7,7,0,0,0,0,34.2,30,16,15,4,19,0,27,0,0,1,150,103.0,4.75,1.413,7.8,1.0,4.9,7.0,1.42
Ben Joyce,2024,23,LAA,AL,1.6,2,0,1.0,2.08,31,1,12,0,0,4,34.2,26,8,8,1,14,0,33,4,0,4,142,203.0,3.19,1.154,6.8,0.3,3.6,8.6,2.36
Steven Wilson,2024,29,CHW,AL,-0.6,1,6,0.143,5.71,40,0,12,0,0,0,34.2,29,29,22,8,26,6,34,3,1,1,163,73.0,6.71,1.587,7.5,2.1,6.8,8.8,1.31
Tanner Gordon,2024,26,COL,NL,-1.1,0,6,0.0,8.65,8,8,0,0,0,0,34.1,53,34,33,10,6,0,26,2,0,0,160,54.0,6.14,1.718,13.9,2.6,1.6,6.8,4.33
A.J. Minter*,2024,30,ATL,NL,1.1,5,4,0.556,2.62,39,0,10,0,0,1,34.1,24,10,10,6,11,1,35,1,0,0,134,161.0,4.45,1.019,6.3,1.6,2.9,9.2,3.18
Chris Roycroft,2024,27,STL,NL,0.0,1,2,0.333,4.19,27,0,13,0,0,0,34.1,31,19,16,2,17,0,33,4,0,1,155,100.0,3.84,1.398,8.1,0.5,4.5,8.7,1.94
Richard Lovelady*,2024,28,2TM,2LG,0.2,3,6,0.333,4.46,35,0,8,0,0,2,34.1,34,18,17,3,11,1,26,2,0,1,147,91.0,3.92,1.311,8.9,0.8,2.9,6.8,2.36
Richard Lovelady*,2024,28,CHC,NL,-0.3,0,1,0.0,7.94,7,0,0,0,0,0,5.2,9,5,5,1,2,0,6,0,0,0,28,53.0,4.4,1.941,14.3,1.6,3.2,9.5,3.0
Richard Lovelady*,2024,28,TBR,AL,0.4,3,5,0.375,3.77,28,0,8,0,0,2,28.2,25,13,12,2,9,1,20,2,0,1,119,107.0,3.83,1.186,7.8,0.6,2.8,6.3,2.22
J.T. Ginn,2024,25,OAK,AL,0.5,1,1,0.5,4.24,8,6,1,0,0,0,34.0,36,16,16,4,9,1,29,2,0,0,142,94.0,3.96,1.324,9.5,1.1,2.4,7.7,3.22
Michel Otañez,2024,26,OAK,AL,0.4,1,0,1.0,3.44,36,0,6,0,0,1,34.0,27,15,13,2,20,0,55,3,0,6,151,116.0,2.72,1.382,7.1,0.5,5.3,14.6,2.75
Brock Burke*,2024,27,2TM,AL,-0.2,2,1,0.667,5.82,34,1,9,0,0,0,34.0,37,22,22,4,16,2,41,2,0,0,154,71.0,3.87,1.559,9.8,1.1,4.2,10.9,2.56
Brock Burke*,2024,27,TEX,AL,-0.5,0,0,,9.22,13,0,4,0,0,0,13.2,21,14,14,3,9,0,16,2,0,0,72,43.0,6.09,2.195,13.8,2.0,5.9,10.5,1.78
Brock Burke*,2024,27,LAA,AL,0.3,2,1,0.667,3.54,21,1,5,0,0,0,20.1,16,8,8,1,7,2,25,0,0,0,82,120.0,2.38,1.131,7.1,0.4,3.1,11.1,3.57
Marco Gonzales*,2024,32,PIT,NL,0.5,1,1,0.5,4.54,7,7,0,0,0,0,33.2,43,17,17,5,11,0,23,0,0,0,151,94.0,4.71,1.604,11.5,1.3,2.9,6.1,2.09
Adam Mazur,2024,23,SDP,NL,-0.7,1,3,0.25,7.49,8,8,0,0,0,0,33.2,40,28,28,6,21,0,22,2,0,0,158,55.0,6.23,1.812,10.7,1.6,5.6,5.9,1.05
Jeffrey Springs*,2024,31,TBR,AL,0.9,2,2,0.5,3.27,7,7,0,0,0,0,33.0,34,12,12,5,11,0,37,1,0,0,142,123.0,3.98,1.364,9.3,1.4,3.0,10.1,3.36
Ryan Burr,2024,30,TOR,AL,0.0,0,2,0.0,4.13,34,4,5,0,0,0,32.2,29,16,15,4,12,0,47,1,0,0,140,100.0,3.07,1.255,8.0,1.1,3.3,12.9,3.92
Scott McGough,2024,34,ARI,NL,-1.1,1,3,0.25,7.44,26,2,7,0,0,0,32.2,34,30,27,6,21,0,25,1,1,1,150,57.0,6.04,1.684,9.4,1.7,5.8,6.9,1.19
Jake Diekman*,2024,37,NYM,NL,-0.8,2,3,0.4,5.63,43,0,10,0,0,4,32.0,23,24,20,7,24,0,40,4,0,2,145,69.0,6.13,1.469,6.5,2.0,6.8,11.3,1.67
Jose A. Ferrer*,2024,24,WSN,NL,0.5,1,0,1.0,3.38,31,0,6,0,0,1,32.0,27,12,12,1,6,0,25,2,1,1,129,120.0,2.76,1.031,7.6,0.3,1.7,7.0,4.17
Joe Kelly,2024,36,LAD,NL,-0.4,1,1,0.5,4.78,35,0,2,0,0,0,32.0,31,19,17,4,16,1,35,5,2,3,143,84.0,4.57,1.469,8.7,1.1,4.5,9.8,2.19
Julian Aguiar,2024,23,CIN,NL,-0.1,2,1,0.667,6.25,7,7,0,0,0,0,31.2,30,22,22,8,12,1,19,5,0,1,140,72.0,6.86,1.326,8.5,2.3,3.4,5.4,1.58
Angel Chivilli,2024,21,COL,NL,0.2,2,3,0.4,4.55,30,0,10,0,0,1,31.2,31,17,16,7,10,0,28,1,0,0,133,103.0,5.31,1.295,8.8,2.0,2.8,8.0,2.8
Kyle Tyler,2024,27,MIA,NL,0.3,0,2,0.0,5.4,8,7,0,0,0,0,31.2,37,19,19,4,18,0,25,1,0,1,142,81.0,5.03,1.737,10.5,1.1,5.1,7.1,1.39
Josh Fleming*,2024,28,PIT,NL,0.0,1,1,0.5,4.02,25,3,9,0,0,1,31.1,34,18,14,3,14,0,17,1,0,1,138,106.0,4.76,1.532,9.8,0.9,4.0,4.9,1.21
Michael Kelly,2024,31,OAK,AL,0.8,3,2,0.6,2.59,28,0,13,0,0,0,31.1,27,11,9,2,10,1,22,3,0,1,128,154.0,3.84,1.181,7.8,0.6,2.9,6.3,2.2
Jordan Leasure,2024,25,CHW,AL,-0.4,0,2,0.0,6.32,33,0,4,0,0,2,31.1,32,22,22,6,18,0,26,1,0,3,142,66.0,5.81,1.596,9.2,1.7,5.2,7.5,1.44
Rhett Lowder,2024,22,CIN,NL,1.9,2,2,0.5,1.17,6,6,0,0,0,0,30.2,25,4,4,0,14,0,22,0,0,0,128,381.0,3.1,1.272,7.3,0.0,4.1,6.5,1.57
Robbie Ray*,2024,32,SFG,NL,0.0,3,2,0.6,4.7,7,7,0,0,0,0,30.2,20,16,16,6,15,0,43,6,0,4,129,84.0,4.96,1.141,5.9,1.8,4.4,12.6,2.87
Bradley Blalock,2024,23,2TM,NL,-0.2,1,3,0.25,5.87,7,6,0,0,0,0,30.2,35,22,20,4,20,0,20,1,0,0,147,80.0,5.61,1.793,10.3,1.2,5.9,5.9,1.0
Bradley Blalock,2024,23,MIL,NL,0.0,0,0,,0.0,1,0,0,0,0,0,1.0,0,0,0,0,1,0,0,0,0,0,4,,6.17,1.0,0.0,0.0,9.0,0.0,0.0
Bradley Blalock,2024,23,COL,NL,-0.2,1,3,0.25,6.07,6,6,0,0,0,0,29.2,35,22,20,4,19,0,20,1,0,0,143,77.0,5.59,1.82,10.6,1.2,5.8,6.1,1.05
Matt Bowman,2024,33,4TM,2LG,0.2,1,0,1.0,4.4,25,1,6,0,0,0,30.2,26,15,15,5,13,1,24,2,0,0,132,95.0,5.19,1.272,7.6,1.5,3.8,7.0,1.85
Matt Bowman,2024,33,3TM,AL,0.4,1,0,1.0,3.38,21,1,5,0,0,0,24.0,18,9,9,4,11,1,20,2,0,0,101,122.0,5.29,1.208,6.8,1.5,4.1,7.5,1.82
Matt Bowman,2024,33,MIN,AL,0.2,0,0,,2.35,5,0,1,0,0,0,7.2,2,2,2,1,4,0,6,2,0,0,31,187.0,5.64,0.783,2.3,1.2,4.7,7.0,1.5
Matt Bowman,2024,33,ARI,NL,-0.1,0,0,,8.1,4,0,1,0,0,0,6.2,8,6,6,1,2,0,4,0,0,0,31,54.0,4.82,1.5,10.8,1.4,2.7,5.4,2.0
Matt Bowman,2024,33,SEA,AL,-0.1,0,0,,13.5,1,0,0,0,0,0,0.2,1,1,1,1,1,0,0,0,0,0,4,44.0,27.17,3.0,13.5,13.5,13.5,0.0,0.0
Matt Bowman,2024,33,BAL,AL,0.2,1,0,1.0,3.45,15,1,4,0,0,0,15.2,15,6,6,2,6,1,14,0,0,0,66,114.0,4.19,1.34,8.6,1.1,3.4,8.0,2.33
Kris Bubic*,2024,26,KCR,AL,0.8,1,1,0.5,2.67,27,0,7,0,0,1,30.1,26,12,9,2,5,3,39,0,0,1,121,155.0,1.95,1.022,7.7,0.6,1.5,11.6,7.8
Davis Daniel,2024,27,LAA,AL,-0.4,1,4,0.2,6.23,6,6,0,0,0,0,30.1,39,22,21,5,6,0,28,1,1,0,134,68.0,4.16,1.484,11.6,1.5,1.8,8.3,4.67
Keegan Thompson,2024,29,CHC,NL,0.5,2,1,0.667,2.67,24,0,9,0,0,2,30.1,19,12,9,3,18,0,36,0,0,0,127,151.0,3.86,1.22,5.6,0.9,5.3,10.7,2.0
Yonny Chirinos,2024,30,MIA,NL,-0.1,0,2,0.0,6.3,6,6,0,0,0,0,30.0,43,21,21,7,13,0,25,3,0,1,144,69.0,6.13,1.867,12.9,2.1,3.9,7.5,1.92
Carlos Hernández,2024,27,KCR,AL,0.2,0,1,0.0,3.3,27,0,10,0,0,0,30.0,24,14,11,1,16,0,27,1,0,1,129,126.0,3.5,1.333,7.2,0.3,4.8,8.1,1.69
Clayton Kershaw*,2024,36,LAD,NL,-0.3,2,2,0.5,4.5,7,7,0,0,0,0,30.0,36,19,15,2,9,1,24,2,1,2,133,89.0,3.53,1.5,10.8,0.6,2.7,7.2,2.67
Tony Santillan,2024,27,CIN,NL,0.7,3,3,0.5,3.0,29,1,2,0,0,0,30.0,21,11,10,4,9,0,46,0,0,1,122,149.0,2.73,1.0,6.3,1.2,2.7,13.8,5.11
Danny Coulombe*,2024,34,BAL,AL,1.0,1,0,1.0,2.12,33,0,3,0,0,1,29.2,15,7,7,3,5,0,32,0,0,2,107,182.0,2.83,0.674,4.6,0.9,1.5,9.7,6.4
Brandon Bielak,2024,28,2TM,AL,0.1,1,0,1.0,5.16,16,0,9,0,0,0,29.2,39,17,17,5,13,0,14,2,0,1,140,79.0,5.93,1.753,11.8,1.5,3.9,4.2,1.08
Brandon Bielak,2024,28,HOU,AL,-0.1,0,0,,5.71,10,0,5,0,0,0,17.1,22,11,11,3,7,0,9,2,0,1,83,71.0,5.94,1.673,11.4,1.6,3.6,4.7,1.29
Brandon Bielak,2024,28,OAK,AL,0.1,1,0,1.0,4.38,6,0,4,0,0,0,12.1,17,6,6,2,6,0,5,0,0,0,57,93.0,5.92,1.865,12.4,1.5,4.4,3.6,0.83
Brenan Hanifee,2024,26,DET,AL,0.9,1,1,0.5,1.84,21,3,1,0,0,0,29.1,27,7,6,2,6,0,23,0,0,0,120,223.0,3.1,1.125,8.3,0.6,1.8,7.1,3.83
George Soriano,2024,25,MIA,NL,-0.6,1,1,0.5,6.75,22,0,11,0,0,1,29.1,27,23,22,7,13,0,29,4,0,3,131,65.0,6.03,1.364,8.3,2.1,4.0,8.9,2.23
Eduardo Salazar,2024,26,2TM,NL,0.5,0,1,0.0,2.76,26,0,3,0,0,0,29.1,34,11,9,2,14,0,27,1,0,1,133,149.0,3.75,1.636,10.4,0.6,4.3,8.3,1.93
Eduardo Salazar,2024,26,LAD,NL,0.0,0,0,,0.0,1,0,1,0,0,0,2.0,3,1,0,0,2,0,3,0,0,0,10,,3.17,2.5,13.5,0.0,9.0,13.5,1.5
Eduardo Salazar,2024,26,WSN,NL,0.5,0,1,0.0,2.96,25,0,2,0,0,0,27.1,31,10,9,2,12,0,24,1,0,1,123,137.0,3.79,1.573,10.2,0.7,4.0,7.9,2.0
Spencer Howard,2024,27,2TM,2LG,-0.6,1,2,0.333,6.21,9,3,2,0,0,0,29.0,44,24,20,5,14,0,27,0,0,1,144,65.0,4.99,2.0,13.7,1.6,4.3,8.4,1.93
Spencer Howard,2024,27,SFG,NL,-0.2,1,1,0.5,5.63,7,2,1,0,0,0,24.0,33,16,15,2,11,0,21,0,0,0,114,70.0,3.87,1.833,12.4,0.8,4.1,7.9,1.91
Spencer Howard,2024,27,CLE,AL,-0.4,0,1,0.0,9.0,2,1,1,0,0,0,5.0,11,8,5,3,3,0,6,0,0,1,30,48.0,10.37,2.8,19.8,5.4,5.4,10.8,2.0
Drew Rasmussen,2024,28,TBR,AL,0.6,0,2,0.0,2.83,16,4,5,0,0,1,28.2,25,10,9,0,6,0,35,0,0,1,116,143.0,1.35,1.081,7.8,0.0,1.9,11.0,5.83
Aaron Ashby*,2024,26,MIL,NL,0.2,1,2,0.333,2.86,14,2,3,0,0,0,28.1,20,13,9,2,10,0,33,0,0,1,119,144.0,2.81,1.059,6.4,0.6,3.2,10.5,3.3
Yilber Díaz,2024,23,ARI,NL,0.3,1,1,0.5,3.81,7,4,1,0,0,0,28.1,27,13,12,3,12,0,19,0,0,1,119,111.0,4.47,1.376,8.6,1.0,3.8,6.0,1.58
Logan Allen*,2024,27,ARI,NL,-0.1,0,1,0.0,5.46,12,0,4,0,0,1,28.0,32,17,17,3,10,0,21,2,0,0,128,77.0,4.34,1.5,10.3,1.0,3.2,6.8,2.1
Ryan Brasier,2024,36,LAD,NL,0.2,1,0,1.0,3.54,29,4,3,0,0,0,28.0,22,12,11,3,5,0,25,0,0,1,110,114.0,3.31,0.964,7.1,1.0,1.6,8.0,5.0
Robert Gasser*,2024,25,MIL,NL,0.6,2,0,1.0,2.57,5,5,0,0,0,0,28.0,28,9,8,2,1,0,16,3,0,0,114,160.0,3.38,1.036,9.0,0.6,0.3,5.1,16.0
Eduard Bazardo,2024,28,SEA,AL,0.0,2,0,1.0,4.88,23,0,15,0,0,0,27.2,20,15,15,2,9,0,33,0,0,3,108,77.0,2.7,1.048,6.5,0.7,2.9,10.7,3.67
Matt Manning,2024,26,DET,AL,0.1,0,1,0.0,4.88,5,5,0,0,0,0,27.2,31,15,15,3,12,0,23,0,0,1,123,84.0,4.21,1.554,10.1,1.0,3.9,7.5,1.92
Bryan Sammons*,2024,29,DET,AL,0.4,1,1,0.5,3.62,6,0,0,0,0,0,27.1,16,11,11,6,9,0,18,1,0,0,104,114.0,5.8,0.915,5.3,2.0,3.0,5.9,2.0
Kolby Allard*,2024,26,PHI,NL,0.2,2,0,1.0,5.0,7,4,0,0,0,0,27.0,34,15,15,5,8,0,23,0,0,0,117,86.0,4.76,1.556,11.3,1.7,2.7,7.7,2.88
